label,occorrenze,media_flusso_fisso_max_run_CORRETTO_Correzione_Additiva_dell_Apertura_DECORRELAZIONE_STELLE_GLOBALE,numero_di_run,Mag_estratta_max
RA_164.89DEC9.93,38,1074.32972275006,2,7.769106452011847
RA_165.64DEC9.17,32,1098.9369407273357,2,7.769276004854063
RA_165.92DEC7.58,30,1030.893418224099,2,7.757096615082916
RA_166.26DEC7.33,27,5919.615833106504,2,5.163878886800073
RA_166.81DEC10.21,23,993.2674594365712,2,7.910582597686523
RA_167.63DEC7.89,16,1066.5627105853766,2,7.713461974998309
RA_173.62DEC-32.83,35,2453.7954995060686,2,7.654464575259509
RA_175.43DEC-32.50,20,4439.814293347355,2,7.150440987896152
RA_76.95DEC20.42,62,4988.634132599046,4,6.439839079906807
RA_76.98DEC21.70,249,3224.430567876252,4,7.86934996512013
RA_77.21DEC19.86,30,2169.6929661612844,4,7.520631663710412
RA_78.87DEC22.29,832,2617.320722210585,15,7.865721589827482
RA_79.81DEC20.13,764,2965.5277642003352,15,7.783651233608539
RA_79.82DEC22.10,832,6387.461686474982,18,6.524040302906521
RA_80.08DEC19.58,587,1696.4637708559458,13,7.424300432184236
RA_80.24DEC19.81,610,2753.6218015797604,13,6.852159088872473
RA_81.91DEC21.94,533,6306.713682080781,110,7.820511529328166
